date,lottery_number,zodiac
8/1/1994,85,Scorpio
7/16/1994,74,Scorpio
7/1/1994,39,Scorpio
6/16/1994,53,Scorpio
6/1/1994,17,Scorpio
5/16/1994,29,Scorpio
5/2/1994,69,Scorpio
4/16/1994,21,Scorpio
4/1/1994,29,Scorpio
3/16/1994,19,Scorpio
3/1/1994,41,Scorpio
2/16/1994,76,Scorpio
2/1/1994,5,Scorpio
1/16/1994,23,Scorpio
12/30/1993,72,Scorpio   
12/16/1993,69,Scorpio   
12/1/1993,98,Scorpio    
11/16/1993,82,Scorpio
11/1/1993,94,Scorpio
10/16/1993,58,Scorpio
10/1/1993,26,Libra
9/16/1993,11,Libra    
9/1/1993,0,Libra
8/16/1993,86,Libra
8/1/1993,6,Libra 
7/16/1993,21,Libra
7/1/1993,29,Libra
6/16/1993,39,Libra
6/1/1993,61,Libra
5/16/1993,53,Libra
5/2/1993,99,Libra 
4/16/1993,9,Libra
4/1/1993,89,Libra
3/16/1993,98,Libra
3/1/1993,19,Libra
2/16/1993,41,Libra
2/1/1993,21,Libra
1/16/1993,25,Libra
12/30/1992,23,Libra
12/16/1992,92,Libra
12/1/1992,65,Libra
11/16/1992,45,Libra
11/1/1992,35,Libra
10/16/1992,79,Scorpio
10/1/1992,71,Scorpio
9/16/1992,88,Scorpio
9/1/1992,68,Scorpio
8/16/1992,91,Scorpio
8/1/1992,86,Scorpio
7/16/1992,87,Scorpio
7/1/1992,56,Scorpio
6/16/1992,92,Libra
6/1/1992,29,Libra
5/16/1992,59,Libra
5/2/1992,86,Libra
4/16/1992,10,Libra
4/1/1992,3,Libra
3/16/1992,48,Libra
3/1/1992,60,Libra
2/16/1992,94,Virgo
2/1/1992,63,Virgo
1/16/1992,18,Virgo
12/30/1991,76,Virgo
12/16/1991,88,Virgo
12/1/1991,5,Virgo
11/16/1991,8,Virgo
11/1/1991,78,Libra
10/16/1991,38,Libra
10/1/1991,96,Libra
9/16/1991,18,Libra
9/1/1991,49,Libra
8/16/1991,89,Libra
8/1/1991,11,Libra
7/16/1991,62,Virgo
7/1/1991,58,Virgo
6/16/1991,91,Virgo
6/1/1991,77,Virgo
5/16/1991,63,Virgo
5/2/1991,63,Virgo
4/16/1991,57,Virgo
4/1/1991,3,Virgo
3/16/1991,59,Virgo
3/1/1991,72,Leo
2/16/1991,33,Leo
2/1/1991,75,Leo
1/16/1991,29,Leo
12/30/1990,5,Leo
12/16/1990,21,Leo
12/1/1990,88,Leo
11/16/1990,6,Virgo
11/1/1990,82,Virgo
10/16/1990,56,Virgo
10/1/1990,37,Virgo
9/16/1990,55,Virgo
9/1/1990,83,Virgo
8/16/1990,43,Virgo
8/1/1990,92,Virgo
7/16/1990,11,Leo
7/1/1990,43,Leo
6/16/1990,65,Leo
6/1/1990,72,Leo
5/16/1990,34,Leo
5/2/1990,1,Leo
4/16/1990,84,Leo
4/1/1990,39,Leo
3/16/1990,88,Leo
3/1/1990,15,Cancer
2/16/1990,1,Cancer
2/1/1990,82,Cancer
1/16/1990,97,Cancer
