date,lottery_number,prime_minister
5/16/2007,25,Surayud
5/2/2007,81,Surayud
4/16/2007,63,Surayud
4/1/2007,93,Surayud
3/16/2007,85,Surayud
3/1/2007,61,Surayud
2/16/2007,95,Surayud
2/1/2007,56,Surayud
1/16/2007,55,Surayud
12/30/2006,7,Surayud
12/16/2006,45,Surayud
12/1/2006,12,Surayud
11/16/2006,94,Surayud
11/1/2006,29,Surayud
10/16/2006,58,Surayud
10/1/2006,92,Surayud
9/16/2006,41,Thaksin
9/1/2006,44,Thaksin
8/16/2006,91,Thaksin
8/1/2006,88,Thaksin
7/16/2006,48,Thaksin
7/1/2006,65,Thaksin
6/16/2006,17,Thaksin
6/1/2006,99,Thaksin
5/16/2006,71,Thaksin
5/2/2006,27,Thaksin
4/16/2006,49,Thaksin
4/1/2006,95,Thaksin
3/16/2006,30,Thaksin
3/1/2006,43,Thaksin
2/16/2006,66,Thaksin
2/1/2006,87,Thaksin
1/16/2006,79,Thaksin
12/30/2005,94,Thaksin
12/16/2005,86,Thaksin
12/1/2005,17,Thaksin
11/16/2005,80,Thaksin
11/1/2005,98,Thaksin
10/16/2005,71,Thaksin
10/1/2005,24,Thaksin
9/16/2005,10,Thaksin
9/1/2005,17,Thaksin
8/16/2005,68,Thaksin
8/1/2005,26,Thaksin
7/16/2005,13,Thaksin
7/1/2005,87,Thaksin
6/16/2005,44,Thaksin
6/1/2005,35,Thaksin
5/16/2005,97,Thaksin
5/2/2005,43,Thaksin
4/16/2005,10,Thaksin
4/1/2005,69,Thaksin
3/16/2005,3,Thaksin
3/1/2005,93,Thaksin
2/16/2005,53,Thaksin
2/1/2005,34,Thaksin
1/16/2005,8,Thaksin
12/30/2004,28,Thaksin
12/16/2004,17,Thaksin
12/1/2004,69,Thaksin
11/16/2004,64,Thaksin
11/1/2004,23,Thaksin
10/16/2004,62,Thaksin
10/1/2004,66,Thaksin
9/16/2004,59,Thaksin
9/1/2004,70,Thaksin
8/16/2004,59,Thaksin
8/2/2004,45,Thaksin
7/16/2004,25,Thaksin
7/1/2004,66,Thaksin
6/16/2004,87,Thaksin
6/1/2004,72,Thaksin
5/16/2004,13,Thaksin
5/2/2004,91,Thaksin
4/16/2004,12,Thaksin
4/1/2004,62,Thaksin
3/16/2004,69,Thaksin
3/1/2004,50,Thaksin
2/16/2004,0,Thaksin
2/1/2004,77,Thaksin
1/16/2004,96,Thaksin
12/30/2003,64,Thaksin
12/16/2003,87,Thaksin
12/1/2003,78,Thaksin
11/16/2003,68,Thaksin
11/1/2003,47,Thaksin
10/16/2003,3,Thaksin
10/1/2003,43,Thaksin
9/16/2003,53,Thaksin
9/1/2003,92,Thaksin
8/16/2003,0,Thaksin
8/1/2003,91,Thaksin
7/16/2003,75,Thaksin
7/1/2003,91,Thaksin
6/16/2003,29,Thaksin
6/1/2003,36,Thaksin
5/16/2003,20,Thaksin
5/2/2003,12,Thaksin
4/16/2003,21,Thaksin
4/1/2003,86,Thaksin
3/16/2003,64,Thaksin
3/1/2003,42,Thaksin
2/17/2003,61,Thaksin
2/1/2003,94,Thaksin
1/16/2003,6,Thaksin
12/30/2002,95,Thaksin
12/16/2002,67,Thaksin
12/1/2002,37,Thaksin
11/16/2002,55,Thaksin
11/1/2002,25,Thaksin
10/16/2002,51,Thaksin
10/1/2002,72,Thaksin
9/16/2002,85,Thaksin
9/1/2002,51,Thaksin
8/16/2002,57,Thaksin
8/1/2002,88,Thaksin
7/16/2002,69,Thaksin
7/1/2002,24,Thaksin
6/16/2002,7,Thaksin
6/1/2002,2,Thaksin
5/16/2002,76,Thaksin
5/2/2002,56,Thaksin
4/16/2002,37,Thaksin
4/1/2002,57,Thaksin
3/16/2002,4,Thaksin
3/1/2002,55,Thaksin
2/16/2002,92,Thaksin
2/1/2002,40,Thaksin
1/16/2002,14,Thaksin
12/30/2001,64,Thaksin
12/16/2001,19,Thaksin
12/1/2001,49,Thaksin
11/16/2001,74,Thaksin
11/1/2001,52,Thaksin
10/16/2001,48,Thaksin
10/1/2001,15,Thaksin
9/16/2001,82,Thaksin
9/1/2001,14,Thaksin
8/16/2001,10,Thaksin
8/1/2001,11,Thaksin
7/16/2001,50,Thaksin
7/1/2001,34,Thaksin
6/16/2001,75,Thaksin
6/1/2001,80,Thaksin
5/16/2001,61,Thaksin
5/2/2001,64,Thaksin
4/16/2001,28,Thaksin
4/1/2001,49,Thaksin
3/16/2001,45,Thaksin
3/1/2001,85,Thaksin
2/16/2001,47,Thaksin
2/1/2001,13,Chuan
1/16/2001,36,Chuan
12/30/2000,31,Chuan
12/16/2000,91,Chuan
12/1/2000,56,Chuan
11/16/2000,10,Chuan
11/1/2000,90,Chuan
10/16/2000,39,Chuan
10/1/2000,26,Chuan
9/16/2000,5,Chuan
9/1/2000,52,Chuan
8/16/2000,57,Chuan
8/1/2000,18,Chuan
7/16/2000,43,Chuan
7/1/2000,29,Chuan
6/16/2000,57,Chuan
6/1/2000,16,Chuan
5/16/2000,56,Chuan
5/2/2000,20,Chuan
4/16/2000,63,Chuan
4/1/2000,99,Chuan
3/16/2000,65,Chuan
3/1/2000,63,Chuan
2/16/2000,91,Chuan
