prob_threshold,pixel_threshold,TP,FP,FN,TN,sensitivity,PPV,specificity,F1
0.4,3300,51,45,4,99,0.9273,0.5312,0.6875,0.6755
0.4,3400,51,40,4,104,0.9273,0.5604,0.7222,0.6986
0.4,3500,51,39,4,105,0.9273,0.5667,0.7292,0.7034
0.4,3600,51,38,4,106,0.9273,0.573,0.7361,0.7083
0.4,3700,50,33,5,111,0.9091,0.6024,0.7708,0.7246
0.4,3800,49,29,6,115,0.8909,0.6282,0.7986,0.7368
0.4,3900,49,27,6,117,0.8909,0.6447,0.8125,0.7481
0.4,4000,48,27,7,117,0.8727,0.64,0.8125,0.7385
0.4,4100,47,26,8,118,0.8545,0.6438,0.8194,0.7344
0.4,4200,47,23,8,121,0.8545,0.6714,0.8403,0.752
0.4,4300,45,21,10,123,0.8182,0.6818,0.8542,0.7438
0.4,4400,45,20,10,124,0.8182,0.6923,0.8611,0.75
0.4,4500,44,19,11,125,0.8,0.6984,0.8681,0.7458
0.4,4600,44,15,11,129,0.8,0.7458,0.8958,0.7719
0.4,4700,44,15,11,129,0.8,0.7458,0.8958,0.7719
0.4,4800,44,15,11,129,0.8,0.7458,0.8958,0.7719
0.4,4900,42,14,13,130,0.7636,0.75,0.9028,0.7568
0.4,5000,41,14,14,130,0.7455,0.7455,0.9028,0.7455
0.5,0,55,120,0,24,1.0,0.3143,0.1667,0.4783
0.5,100,55,114,0,30,1.0,0.3254,0.2083,0.4911
0.5,200,55,110,0,34,1.0,0.3333,0.2361,0.5
0.5,300,55,108,0,36,1.0,0.3374,0.25,0.5046
0.5,400,55,105,0,39,1.0,0.3438,0.2708,0.5116
0.5,500,55,104,0,40,1.0,0.3459,0.2778,0.514
0.5,600,55,100,0,44,1.0,0.3548,0.3056,0.5238
0.5,700,55,98,0,46,1.0,0.3595,0.3194,0.5288
0.5,800,55,97,0,47,1.0,0.3618,0.3264,0.5314
0.5,900,55,97,0,47,1.0,0.3618,0.3264,0.5314
0.5,1000,55,95,0,49,1.0,0.3667,0.3403,0.5366
0.5,1100,55,92,0,52,1.0,0.3741,0.3611,0.5446
0.5,1200,55,91,0,53,1.0,0.3767,0.3681,0.5473
0.5,1300,55,88,0,56,1.0,0.3846,0.3889,0.5556
0.5,1400,55,85,0,59,1.0,0.3929,0.4097,0.5641
0.5,1500,55,82,0,62,1.0,0.4015,0.4306,0.5729
0.5,1600,55,79,0,65,1.0,0.4104,0.4514,0.582
0.5,1700,55,77,0,67,1.0,0.4167,0.4653,0.5882
0.5,1800,55,71,0,73,1.0,0.4365,0.5069,0.6077
0.5,1900,55,70,0,74,1.0,0.44,0.5139,0.6111
0.5,2000,55,66,0,78,1.0,0.4545,0.5417,0.625
0.5,2100,54,63,1,81,0.9818,0.4615,0.5625,0.6279
0.5,2200,54,59,1,85,0.9818,0.4779,0.5903,0.6429
0.5,2300,54,55,1,89,0.9818,0.4954,0.6181,0.6585
0.5,2400,54,53,1,91,0.9818,0.5047,0.6319,0.6667
0.5,2500,54,51,1,93,0.9818,0.5143,0.6458,0.675
0.5,2600,54,49,1,95,0.9818,0.5243,0.6597,0.6835
0.5,2700,52,43,3,101,0.9455,0.5474,0.7014,0.6933
0.5,2800,51,38,4,106,0.9273,0.573,0.7361,0.7083
0.5,2900,50,37,5,107,0.9091,0.5747,0.7431,0.7042
0.5,3000,50,34,5,110,0.9091,0.5952,0.7639,0.7194
0.5,3100,49,30,6,114,0.8909,0.6203,0.7917,0.7313
0.5,3200,49,26,6,118,0.8909,0.6533,0.8194,0.7538
0.5,3300,49,25,6,119,0.8909,0.6622,0.8264,0.7597
0.5,3400,47,24,8,120,0.8545,0.662,0.8333,0.746
0.5,3500,46,24,9,120,0.8364,0.6571,0.8333,0.736
0.5,3600,45,20,10,124,0.8182,0.6923,0.8611,0.75
0.5,3700,44,19,11,125,0.8,0.6984,0.8681,0.7458
0.5,3800,44,17,11,127,0.8,0.7213,0.8819,0.7586
0.5,3900,43,15,12,129,0.7818,0.7414,0.8958,0.7611
0.5,4000,43,15,12,129,0.7818,0.7414,0.8958,0.7611
0.5,4100,43,14,12,130,0.7818,0.7544,0.9028,0.7679
0.5,4200,41,12,14,132,0.7455,0.7736,0.9167,0.7593
0.5,4300,41,12,14,132,0.7455,0.7736,0.9167,0.7593
0.5,4400,40,11,15,133,0.7273,0.7843,0.9236,0.7547
0.5,4500,40,10,15,134,0.7273,0.8,0.9306,0.7619
0.5,4600,37,8,18,136,0.6727,0.8222,0.9444,0.74
0.5,4700,35,8,20,136,0.6364,0.814,0.9444,0.7143
0.5,4800,35,7,20,137,0.6364,0.8333,0.9514,0.7216
0.5,4900,32,7,23,137,0.5818,0.8205,0.9514,0.6809
0.5,5000,32,7,23,137,0.5818,0.8205,0.9514,0.6809
0.6,0,55,116,0,28,1.0,0.3216,0.1944,0.4867
0.6,100,55,110,0,34,1.0,0.3333,0.2361,0.5
0.6,200,55,107,0,37,1.0,0.3395,0.2569,0.5069
0.6,300,55,101,0,43,1.0,0.3526,0.2986,0.5213
